24-09-16 12:52:19.991 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.11.2"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/22.0.2+9-70"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='01mayurbhoir', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, streamFactoryFactory=null, commandListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsCommandListener@4e50ae56], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@1c68d0db, com.mongodb.Jep395RecordCodecProvider@9be7319, com.mongodb.KotlinCodecProvider@91a2543]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.pvyuh.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-ge9jd0-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsConnectionPoolListener@42730828], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null} 
24-09-16 12:52:20.007 [cluster-ClusterId{value='66e7dcab46fe647786d54345', description='Cluster0'}-srv-cluster0.pvyuh.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-01.pvyuh.mongodb.net:27017 to client view of cluster 
24-09-16 12:52:20.167 [cluster-ClusterId{value='66e7dcab46fe647786d54345', description='Cluster0'}-srv-cluster0.pvyuh.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-02.pvyuh.mongodb.net:27017 to client view of cluster 
24-09-16 12:52:20.167 [cluster-ClusterId{value='66e7dcab46fe647786d54345', description='Cluster0'}-srv-cluster0.pvyuh.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-00.pvyuh.mongodb.net:27017 to client view of cluster 
24-09-16 12:52:21.177 [main] INFO  org.mongodb.driver.cluster - No server chosen by WritableServerSelector from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=cluster0-shard-00-02.pvyuh.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=cluster0-shard-00-01.pvyuh.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=cluster0-shard-00-00.pvyuh.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
24-09-16 12:52:21.846 [cluster-ClusterId{value='66e7dcab46fe647786d54345', description='Cluster0'}-cluster0-shard-00-00.pvyuh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.pvyuh.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=863897500, setName='atlas-ge9jd0-shard-0', canonicalAddress=cluster0-shard-00-00.pvyuh.mongodb.net:27017, hosts=[cluster0-shard-00-01.pvyuh.mongodb.net:27017, cluster0-shard-00-02.pvyuh.mongodb.net:27017, cluster0-shard-00-00.pvyuh.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.pvyuh.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=152, topologyVersion=TopologyVersion{processId=66e28b70accd2a7ebaa09537, counter=4}, lastWriteDate=Mon Sep 16 12:52:18 IST 2024, lastUpdateTimeNanos=7301683736300} 
24-09-16 12:52:21.848 [cluster-ClusterId{value='66e7dcab46fe647786d54345', description='Cluster0'}-cluster0-shard-00-02.pvyuh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.pvyuh.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=882946100, setName='atlas-ge9jd0-shard-0', canonicalAddress=cluster0-shard-00-02.pvyuh.mongodb.net:27017, hosts=[cluster0-shard-00-01.pvyuh.mongodb.net:27017, cluster0-shard-00-02.pvyuh.mongodb.net:27017, cluster0-shard-00-00.pvyuh.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.pvyuh.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=152, topologyVersion=TopologyVersion{processId=66e28cc7dfbbdc0b5beaabe9, counter=3}, lastWriteDate=Mon Sep 16 12:52:18 IST 2024, lastUpdateTimeNanos=7301688745700} 
24-09-16 12:52:21.864 [cluster-ClusterId{value='66e7dcab46fe647786d54345', description='Cluster0'}-cluster0-shard-00-01.pvyuh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.pvyuh.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=893478600, setName='atlas-ge9jd0-shard-0', canonicalAddress=cluster0-shard-00-01.pvyuh.mongodb.net:27017, hosts=[cluster0-shard-00-01.pvyuh.mongodb.net:27017, cluster0-shard-00-02.pvyuh.mongodb.net:27017, cluster0-shard-00-00.pvyuh.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.pvyuh.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000001d6, setVersion=152, topologyVersion=TopologyVersion{processId=66e28a91ffd53817d7f8a21b, counter=6}, lastWriteDate=Mon Sep 16 12:52:18 IST 2024, lastUpdateTimeNanos=7301703596100} 
24-09-16 12:52:21.869 [cluster-ClusterId{value='66e7dcab46fe647786d54345', description='Cluster0'}-cluster0-shard-00-01.pvyuh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary cluster0-shard-00-01.pvyuh.mongodb.net:27017 with max election id 7fffffff00000000000001d6 and max set version 152 
24-09-16 12:52:24.724 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator' 
24-09-16 12:52:24.864 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5abb7a8f, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6684589a, org.springframework.security.web.context.SecurityContextHolderFilter@7e0883f3, org.springframework.security.web.header.HeaderWriterFilter@fefb66c, org.springframework.web.filter.CorsFilter@5621a671, org.springframework.security.web.authentication.logout.LogoutFilter@3a7d914c, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@1f547af8, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4ba1c1a2, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2c2e5e72, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2006fdaa, org.springframework.security.web.access.ExceptionTranslationFilter@25dad235, org.springframework.security.web.access.intercept.AuthorizationFilter@5f369fc6] 
